Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd)
Svalbard Lufthavn;SN99840;11.1931;-1,8
Svalbard Lufthavn;SN99840;12.1931;-9
Svalbard Lufthavn;SN99840;01.1932;-15,5
Svalbard Lufthavn;SN99840;02.1932;-13,7
Svalbard Lufthavn;SN99840;03.1932;-14,4
Svalbard Lufthavn;SN99840;04.1932;-14,5
Svalbard Lufthavn;SN99840;05.1932;-4,6
Svalbard Lufthavn;SN99840;06.1932;1,7
Svalbard Lufthavn;SN99840;07.1932;5,8
Svalbard Lufthavn;SN99840;08.1932;4,5
Svalbard Lufthavn;SN99840;09.1932;-1,1
Svalbard Lufthavn;SN99840;10.1932;-4,7
Svalbard Lufthavn;SN99840;11.1932;-10,8
Svalbard Lufthavn;SN99840;12.1932;-8,5
Svalbard Lufthavn;SN99840;01.1933;-4,3
Svalbard Lufthavn;SN99840;02.1933;-10,5
Svalbard Lufthavn;SN99840;03.1933;-15,5
Svalbard Lufthavn;SN99840;04.1933;-13,9
Svalbard Lufthavn;SN99840;05.1933;-3,6
Svalbard Lufthavn;SN99840;06.1933;2,2
Svalbard Lufthavn;SN99840;07.1933;5,5
Svalbard Lufthavn;SN99840;08.1933;4,7
Svalbard Lufthavn;SN99840;09.1933;2,5
Svalbard Lufthavn;SN99840;10.1933;-5,5
Svalbard Lufthavn;SN99840;11.1933;-7,3
Svalbard Lufthavn;SN99840;12.1933;-8
Svalbard Lufthavn;SN99840;01.1934;-9
Svalbard Lufthavn;SN99840;02.1934;-16,7
Svalbard Lufthavn;SN99840;03.1934;-7,7
Svalbard Lufthavn;SN99840;04.1934;-14,1
Svalbard Lufthavn;SN99840;05.1934;-4
Svalbard Lufthavn;SN99840;06.1934;2,6
Svalbard Lufthavn;SN99840;07.1934;6,1
Svalbard Lufthavn;SN99840;08.1934;6,2
Svalbard Lufthavn;SN99840;09.1934;4
Svalbard Lufthavn;SN99840;10.1934;-3,6
Svalbard Lufthavn;SN99840;11.1934;-6,2
Svalbard Lufthavn;SN99840;12.1934;-7,9
Svalbard Lufthavn;SN99840;01.1935;-14,2
Svalbard Lufthavn;SN99840;02.1935;-15
Svalbard Lufthavn;SN99840;03.1935;-14,2
Svalbard Lufthavn;SN99840;04.1935;-12
Svalbard Lufthavn;SN99840;05.1935;-7,2
Svalbard Lufthavn;SN99840;06.1935;2,4
Svalbard Lufthavn;SN99840;07.1935;6,8
Svalbard Lufthavn;SN99840;08.1935;5,6
Svalbard Lufthavn;SN99840;09.1935;-1,7
Svalbard Lufthavn;SN99840;10.1935;-0,7
Svalbard Lufthavn;SN99840;11.1935;-3
Svalbard Lufthavn;SN99840;12.1935;-8,7
Svalbard Lufthavn;SN99840;01.1936;-9,6
Svalbard Lufthavn;SN99840;02.1936;-16,8
Svalbard Lufthavn;SN99840;03.1936;-21,8
Svalbard Lufthavn;SN99840;04.1936;-12,5
Svalbard Lufthavn;SN99840;05.1936;-0,8
Svalbard Lufthavn;SN99840;06.1936;1,7
Svalbard Lufthavn;SN99840;07.1936;4,9
Svalbard Lufthavn;SN99840;08.1936;5,6
Svalbard Lufthavn;SN99840;09.1936;0,9
Svalbard Lufthavn;SN99840;10.1936;-3,8
Svalbard Lufthavn;SN99840;11.1936;-7,6
Svalbard Lufthavn;SN99840;12.1936;-8,9
Svalbard Lufthavn;SN99840;01.1937;-2,8
Svalbard Lufthavn;SN99840;02.1937;-17,2
Svalbard Lufthavn;SN99840;03.1937;-13,3
Svalbard Lufthavn;SN99840;04.1937;-7,5
Svalbard Lufthavn;SN99840;05.1937;-2,4
Svalbard Lufthavn;SN99840;06.1937;2,1
Svalbard Lufthavn;SN99840;07.1937;5,8
Svalbard Lufthavn;SN99840;08.1937;5,4
Svalbard Lufthavn;SN99840;09.1937;0,5
Svalbard Lufthavn;SN99840;10.1937;-3,8
Svalbard Lufthavn;SN99840;11.1937;-7,4
Svalbard Lufthavn;SN99840;12.1937;-5,3
Svalbard Lufthavn;SN99840;01.1938;-9,3
Svalbard Lufthavn;SN99840;02.1938;-10,2
Svalbard Lufthavn;SN99840;03.1938;-13,9
Svalbard Lufthavn;SN99840;04.1938;-11,2
Svalbard Lufthavn;SN99840;05.1938;-4,5
Svalbard Lufthavn;SN99840;06.1938;3,5
Svalbard Lufthavn;SN99840;07.1938;6,2
Svalbard Lufthavn;SN99840;08.1938;4,6
Svalbard Lufthavn;SN99840;09.1938;0,4
Svalbard Lufthavn;SN99840;10.1938;-1
Svalbard Lufthavn;SN99840;11.1938;-5,6
Svalbard Lufthavn;SN99840;12.1938;-0,8
Svalbard Lufthavn;SN99840;01.1939;-12,7
Svalbard Lufthavn;SN99840;02.1939;-12,2
Svalbard Lufthavn;SN99840;03.1939;-12,7
Svalbard Lufthavn;SN99840;04.1939;-10,8
Svalbard Lufthavn;SN99840;05.1939;-2,6
Svalbard Lufthavn;SN99840;06.1939;0,7
Svalbard Lufthavn;SN99840;07.1939;6,3
Svalbard Lufthavn;SN99840;08.1939;5,9
Svalbard Lufthavn;SN99840;09.1939;-0,3
Svalbard Lufthavn;SN99840;10.1939;-4,4
Svalbard Lufthavn;SN99840;11.1939;-7,6
Svalbard Lufthavn;SN99840;12.1939;-12,5
Svalbard Lufthavn;SN99840;01.1940;-10,1
Svalbard Lufthavn;SN99840;02.1940;-16,1
