Dato;Bokført;Spesifikasjon;Sted;"Valuta
";Utl. beløp;Beløp
03-03;06-03;4219 EXTRA BERGEN STOR;BERGEN;;0,00;29,80
03-03;03-03;VIPPS*HAKON MYDLAND;OSLO;;0,00;264,50
19-02;20-02;HEIDIS BIER BAR;TRONDHEIM;;0,00;109,00
19-02;20-02;DR$PEN SOLSIDEN;TRONDHEIM;;0,00;180,00
19-02;20-02;BUNNPRIS ROSEND;TRONDHEIM;;0,00;141,80
18-02;20-02;KOKOMO TRONDHEI;TRONDHEIM;;0,00;210,00
18-02;20-02;TR@NDERTAXI AS;TRONDHEIM;;0,00;265,00
18-02;20-02;BUNNPRIS ROSEND;TRONDHEIM;;0,00;61,90
18-02;20-02;LILLE LONDON 1;TRONDHEIM;;0,00;140,00
17-02;20-02;VIPPS*ATB APP;OSLO;;0,00;43,00
17-02;20-02;HEIDIS BIER BAR;TRONDHEIM;;0,00;128,00
17-02;20-02;BUNNPRIS ROSEND;TRONDHEIM;;0,00;455,60
17-02;20-02;VINMONOPOLET;TRONDHEIM;;0,00;441,70
17-02;20-02;SIT KAFE DRAGVO;TRONDHEIM;;0,00;64,40
17-02;20-02;SIT S.KIOSK DRA;TRONDHEIM;;0,00;43,80
17-02;20-02;SOT SOLSIDEN;TRONDHEIM;;0,00;480,00
17-02;17-02;VIPPS*ATB APP;OSLO;;0,00;43,00
16-02;17-02;FLYBUSS TRONDHE;TRONDHEIM;;0,00;220,00
16-02;17-02;BUNNPRIS ROSEND;TRONDHEIM;;0,00;88,70
16-02;17-02;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
15-02;17-02;KIWI 803 KRONST;BERGEN;;0,00;137,80
14-02;15-02;SIBKAFE HIBKRON;BERGEN;;0,00;68,85
14-02;15-02;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
14-02;14-02;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
13-02;15-02;KIWI 803 KRONST;BERGEN;;0,00;107,00
12-02;13-02;VIPPS*HAKON MYDLAND;OSLO;;0,00;650,00
12-02;13-02;FR@KEN BRUN;BERGEN;;0,00;159,00
12-02;13-02;FR@KEN BRUN;BERGEN;;0,00;159,00
11-02;13-02;KIWI 803 KRONST;BERGEN;;0,00;258,20
10-02;13-02;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;211,35
10-02;13-02;KIWI 803 KRONST;BERGEN;;0,00;270,65
09-02;10-02;VIPPS*VILHELM SKAGESTA;OSLO;;0,00;3 000,00
09-02;10-02;SIBKAFE HIBKRON;BERGEN;;0,00;97,40
07-02;09-02;KIWI 803 KRONST;BERGEN;;0,00;79,60
06-02;08-02;KIWI 803 KRONST;BERGEN;;0,00;121,60
05-02;06-02;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
05-02;06-02;TORGET 7 SERVER;BERGEN;;0,00;300,00
05-02;06-02;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;116,30
04-02;06-02;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;174,23
04-02;06-02;KIWI 803 KRONST;BERGEN;;0,00;308,00
04-02;06-02;KIWI 803 KRONST;BERGEN;;0,00;54,85
03-02;06-02;KIWI 803 KRONST;BERGEN;;0,00;271,40
03-02;06-02;REMA GYLDENPRIS;BERGEN;;0,00;37,00
02-02;06-02;KIWI 803 KRONST;BERGEN;;0,00;112,90
01-02;02-02;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;249,92
28-01;30-01;GOR AS;BERGEN;;0,00;150,00
25-01;26-01;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;70,20
23-01;24-01;SAMMEN K2;BERGEN;;0,00;69,70
22-01;23-01;BURGER KIN 5003;BERGEN;;0,00;193,00
21-01;23-01;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;327,10
20-01;23-01;SAS1172488159547;FORNEBU;;0,00;446,00
10-01;11-01;ESKY ESKYNO;INTERNET;;0,00;2 116,94
27-12;28-12;LOFOTPUBEN AS;LEKNES;;0,00;120,00
26-12;28-12;LOFOTPUBEN AS;LEKNES;;0,00;360,00
26-12;28-12;LOFOTPUBEN AS;LEKNES;;0,00;360,00
Totalt beløp;;;;;;76 419,86
